Index,POS
0,NNS
1,IN
2,NNS
3,VBN
4,IN
5,DT
6,NN
7,VBN
8,DT
9,NNS
10,WP
11,VBN
12,NNS
13,IN
14,JJ
15,NNS
16,IN
17,``
18,NNP
19,NNP
20,CD
21,JJ
22,``
23,CC
24,``
25,JJ
26,DT
27,NNS
28,.
29,``
30,NN
31,VBN
32,DT
33,NNP
34,IN
35,NNS
36,IN
37,CD
38,NNP
39,NNS
40,VBN
41,PRP
42,VBD
43,CD
44,.
45,DT
46,NN
47,VBZ
48,VBN
49,IN
50,RB
51,POS
52,NN
53,IN
54,DT
55,NNP
56,NN
57,CC
58,DT
59,VBN
60,NN
61,IN
62,CD
63,JJ
64,NNS
65,IN
66,IN
67,NN
68,.
69,JJ
70,NNS
71,VBP
72,PRP
73,NN
74,TO
75,NN
76,NN
77,TO
78,VBN
79,CD
80,NNS
81,IN
82,DT
83,JJ
84,NNP
85,","
86,IN
87,DT
88,NNP
89,NN
90,NN
91,NNS
92,VBG
93,.
94,JJ
95,JJ
96,NNS
97,VBP
98,NNS
99,CC
100,NNS
101,VBP
102,VBN
103,IN
104,DT
105,JJ
106,NN
107,NNP
108,IN
109,DT
110,JJ
111,CD
112,IN
113,JJ
114,NNP
115,IN
116,NNP
117,NNS
118,.
119,DT
120,NN
121,NN
122,IN
123,JJ
124,VBN
125,NNS
126,","
127,DT
128,NNP
129,JJ
130,","
131,NNPS
132,DT
133,JJ
134,RB
135,","
136,RB
137,DT
138,MD
139,VBD
140,RB
141,VBN
142,NNP
143,IN
144,DT
145,NN
146,IN
147,CD
148,.
149,NNS
150,NN
151,DT
152,NN
153,IN
154,NN
155,NNS
156,","
157,VBG
158,NN
159,CC
160,DT
161,NNS
162,.
163,NNP
164,POS
165,NN
166,VBZ
167,PRP
168,MD
169,NN
170,NNS
171,TO
172,VB
173,NNS
174,RB
175,IN
176,NNP
177,","
178,CC
179,VBZ
180,VBG
181,NNS
182,TO
183,VBP
184,DT
185,VBD
186,.
187,NN
188,NNS
189,IN
190,NNP
191,VBP
192,DT
193,RB
194,RB
195,IN
196,DT
197,NN
198,NN
199,NN
200,VBZ
201,VBN
202,DT
203,JJ
204,JJ
205,NN
206,PRP$
207,NN
208,","
209,VBG
210,DT
211,NN
212,POS
213,NN
214,NN
215,IN
216,DT
217,NN
218,TO
219,CD
220,.
221,CC
222,NNP
223,VBD
224,NNP
225,IN
226,VBG
227,DT
228,NN
229,NN
230,IN
231,NNP
232,JJR
233,NNP
234,NNP
235,NNS
236,NN
237,MD
238,VB
239,DT
240,``
241,NN
242,.
243,``
244,PRP
245,VBD
246,NNS
247,IN
248,DT
249,JJS
250,NNP
251,IN
252,VBD
253,VBZ
254,MD
255,NN
256,IN
257,NN
258,IN
259,JJ
260,NNS
261,.
262,DT
263,JJ
264,JJ
265,VBZ
266,JJ
267,JJ
268,NNP
269,NNP
270,:
271,DT
272,VBN
273,IN
274,DT
275,NN
276,POS
277,JJ
278,CC
279,:
280,VBZ
281,VBN
282,PRP$
283,NN
284,.
285,NNP
286,VBD
287,RB
288,VBN
289,TO
290,VBP
291,DT
292,NN
293,IN
294,PRP
295,VBD
296,VBN
297,NN
298,JJ
299,DT
300,VB
301,IN
302,DT
303,NNP
304,NN
305,IN
306,NNP
307,NNS
308,IN
309,NNP
310,.
311,DT
312,VBN
313,NN
314,NN
315,VBZ
316,NNP
317,VBZ
318,VBG
319,DT
320,JJ
321,NN
322,IN
323,MD
324,VB
325,IN
326,NN
327,IN
328,CD
329,TO
330,CD
331,JJ
332,NNS
333,DT
334,JJ
335,.
336,DT
337,NNP
338,NN
339,VBZ
340,VBN
341,IN
342,NN
343,NN
344,NN
345,VBZ
